Pojem česky	Definice česky
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“), také označován jako „konstrukční typ“. Musí být poskytnuta jako alternativa k názvu „typ objektu“, pokud software typy objektů nepodporuje.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Požární odolnost	Požární odolnost tohoto objektu. Udává se podle národních požárně bezpečnostních zákonů nebo předpisů.
 Maximální hodnoty zvuku	"Maximální hodnoty zvuku pro tento objekt.
Jsou určeny podle národních stavebních předpisů. Udávají odolnost proti zvukové propustnosti tohoto objektu indexovým ukazatelem (místo zajištění hodnot absorpce zvuku)."
 Stupeň bezpečnosti	"Indexový systém udávající úroveň zabezpečení.
Uvádí se podle národních stavebních předpisů."
 Míra odolnosti	Odolnost vůči mechanickému namáhání. Udává se podle národních zákonů nebo předpisů.
 Hygrotermální odolnost	Odolnost vůči hygrotermálním vlivům různých teplot a vlhkostí uvnitř i vně. Udává se podle národních zákonů nebo předpisů.
 Je venkovní	Udává, zda je prvek navržený pro použití ve venkovním prostředí (TRUE) nebo není (FALSE). Pokud platí (TRUE), jedná se o venkovní prvek a je orientován směrem ven z budovy.
 Infiltrace	Rychlost infiltrace vnějšího vzduchu u výplňového objektu na základě plochy výplňového objektu při tlaku 50 pascalů. Používá se, když není známa délka všech spojů.
 Součinitel prostupu tepla	"Součinitel prostupu tepla (hodnota U) materiálu.
Platí pro celkovou konstrukci dveří."
 Plocha zasklených částí	"Poměr zasklené plochy k celkové ploše výplňového prvku. 
Používá se, když zasklená plocha není uvedena samostatně u všech panelů výplňového prvku."
 Bezbariérový přístup	"Indikace, že tento objekt je navržen tak, aby byl přístupný handicapovaným. 
Udává se podle požadavků národních stavebních předpisů."
 Nouzový východ	"Udává, zda je tento objekt určen k tomu, aby sloužil jako nouzový východ v případě požáru (TRUE) nebo nikoli (FALSE).
Zde definuje výstupní dveře podle národního stavebního zákona."
 Má pohon	Označení, zda má objekt automatický pohon, který jej ovládá (TRUE), či nikoli (FALSE)
 Samozavírací	Označení, zda je tento objekt navržen pro automatické zavření po použití (TRUE) či nikoli (FALSE).
 Kouřová přepážka	Udává, zda je tento objekt určen k tomu, aby sloužil jako kouřová přepážka (TRUE) či nikoli (FALSE).
	
 Typ zasklení dveřního panelu	Vlastnosti společné pro definici prvku zasklení výskytů IfcDoor a IfcWindow používaných pro tepelné výpočty a výpočty osvětlení.
 Vrstvy skla	Počet vrstev skla v rámu. Např. „2“ u dvojitého zasklení.
 Tloušťka skla1	Tloušťka první (vnitřní) vrstvy skla.
 Tloušťka skla2	Tloušťka druhé (mezilehlé nebo vnější) vrstvy skla.
 Tloušťka skla3	Tloušťka třetí (vnější) vrstvy skla.
 Výplňový plyn	Název plynu, který vyplňuje mezeru mezi dvěma vrstvami skla. Uvádí se jen pro informační účely.
 Barva skla	Výběr barvy (odstínu) tohoto skla. Uvádí se jen pro informační účely.
 Je temperované	Udává, zda je sklo temperované (TRUE) či nikoli (FALSE).
 Je laminované	Udává, zda jsou na sklu vrstvy jiných materiálů (TRUE) či nikoli (FALSE).
 Je povrstvené	Udává, zda je sklo povrstveno jiným materiálem (TRUE) či nikoli (FALSE).
 Je drátosklo	Udává, zda je ve skle drátěné pletivo, které zabraňuje násilnému vniknutí (TRUE), či nikoli (FALSE)
 Odrazivost viditelného světla	Podíl viditelného světla, které je odraženo zasklením při kolmém úhlu dopadu. Jedná se o bezrozměrnou hodnotu.
 Prostup viditelného světla	Podíl viditelného světla, které je prochází zasklením při kolmém úhlu dopadu. Jedná se o bezrozměrnou hodnotu.
 Sluneční absorpce	(Asol) Poměr dopadajícího slunečního záření, které je pohlceno zasklívacím systémem. Jedná se o součet absorpce rozváděné do vnějšího (a) a vnitřního (qi) prostředí. Seznamte se s následující rovnicí: Asol + Rsol + Tsol = 1
 Sluneční odrazivost	(Rsol): Poměr dopadajícího slunečního záření, které je odraženo zasklívacím systémem (také nazývané ρe). Seznamte se s následující rovnicí: Asol + Rsol + Tsol = 1
 Sluneční propustnost	(Tsol): Poměr dopadajícího slunečního záření, které přímo prochází zasklívacím systémem (také nazývané τe). Seznamte se s následující rovnicí: Asol + Rsol + Tsol = 1
 Sluneční propustnost v tepelném zisku	(SHGC): Poměr dopadajícího slunečního záření, které přispívá k tepelnému zisku vnitřního prostředí. Jedná se o přímo procházející sluneční záření (Tsol nebo τe) plus část pohlceného záření, které je rozváděno do vnitřního prostředí (qi). SHGC se také označuje jako hodnota g (g = τe + qi).
 Koeficient zastínění	(SC): Míra schopnosti zasklení přenášet sluneční teplo vztažená k této schopnosti u čirého jednoduchého skla s dvojnásobnou pevností, tloušťky 3 mm (1/8 palce). Koeficient zastínění se přestává používat a začíná se používat koeficient tepelného zisku slunečního záření (SHGC) a je přibližně roven hodnotě SHGC krát 1,15. Koeficient zastínění se vyjadřuje jako bezrozměrná hodnota od 0 do 1.
 Prostup tepla v letním období	"Součinitel prostupu tepla (hodnota U) materiálu.
Součinitel prostupu tepla pouze zasklením v letním období, často označovaný jako hodnota U."
 Prostup tepla v zimním období	"Součinitel prostupu tepla (hodnota U) materiálu.
Součinitel prostupu tepla pouze zasklením v zimním období, často označovaný jako hodnota U."
	
 Typ zastínění dveřního panelu	Vlastnosti společné pro definici prvku zastínění výskytů IfcDoor a IfcWindow používaných pro statické (zjednodušené) výpočty zastínění.
 Koeficient zastínění	Snížení hodnoty koeficientu tepelného zisku slunečního záření (SHGC) (v Evropě se rovná hodnotě g) v zasklení po použití stínicího zařízení. Všeobecně znám jako Fc (nebo dříve jako hodnota z). Celkový prostup záření g<celk> = g * Fc. Redukční součinitel se udává jako bezrozměrná hodnota od 0 do 1; čím je součinitel zastínění (SC) nižší, tím méně slunečního tepla se přenáší.
 Koeficient vnějšího zastínění	Koeficient prostupu záření vnějším stínicím zařízením. Jedná se o bezrozměrnou hodnotu.
 Koeficient vnitřního zastínění	Koeficient prostupu záření vnitřním stínicím zařízením, hodnota b. Jedná se o bezrozměrnou hodnotu.
 Koeficient zabudovaného zastínění	Koeficient prostupu záření vnitřním stínicím zařízením uvnitř zasklení, hodnota b. Jedná se o bezrozměrnou hodnotu.
	
 Výskyt armatury kanálového vedení	Atributy výskytu armatury kanálového vedení.
 Součinitel vnitřní drsnosti	Vnitřní drsnost materiálu armatury kanálového vedení.
 Má obložení	TRUE pokud má armatura kanálového vedení vnitřní izolační obložení, FALSE pokud nemá.
 Barva	"Barva dílu kanálového vedení.

Poznámka: Nejčastěji se používá pro jakékoli díly kanálového vedení s povrchem opatřeným nátěrem, který není specifikován jako krycí vrstva."
	
 Historie provozu armatury kanálového vedení	Všeobecné atributy historie provozu armatury kanálového vedení.
 Ztrátový součinitel	Bezrozměrný ztrátový součinitel používaný pro výpočet odporu tekutiny představující poměr celkové tlakové ztráty k dynamickému tlaku pro referenční průřez.
 Atmosférický tlak	Tlak okolní atmosféry.
 Ztráta průtoku vzduchu	Objemová ztráta průtoku.
	
 Typ armatury kanálového vedení - všeobecně	Atributy standardního typu armatury kanálového vedení.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Třída tlaku	Klasifikace tlaku definovaná příslušným úřadem (např. SMACNA atd.).
 Rozsah tlaku	Přípustný maximální a minimální pracovní tlak (vztažený na okolní tlak).
 Rozsah teplot	Přípustná maximální a minimální teplota.
	
 Výskyt dílu kanálového vedení	Atributy výskytu dílu kanálového vedení připojeného k instanci IfcDuctSegment.
 Součinitel vnitřní drsnosti	Vnitřní drsnost materiálu armatury kanálového vedení.
 Má obložení	TRUE pokud má armatura kanálového vedení vnitřní izolační obložení, FALSE pokud nemá.
 Barva	"Barva dílu kanálového vedení.

Poznámka: Nejčastěji se používá pro jakékoli díly kanálového vedení s povrchem opatřeným nátěrem, který není specifikován jako krycí vrstva."
	
 Historie provozu dílu kanálového vedení	Všeobecné atributy historie provozu dílu kanálového vedení.
 Ztrátový součinitel	Bezrozměrný ztrátový součinitel používaný pro výpočet odporu tekutiny představující poměr celkové tlakové ztráty k dynamickému tlaku pro referenční průřez.
 Atmosférický tlak	Tlak okolní atmosféry.
 Křivka ztrát	Křivka ztrát na jednotku délky v závislosti na pracovním tlaku. Je-li vyjádřena skalární hodnota, představuje parametr TřídaNetěsnosti, což je průtok na jednotku plochy při stanoveném jmenovitém tlaku (např. ASHRAE Fundamentals 2001 34.16.).
 Ztráta průtoku tekutiny	Objemová ztráta průtoku.
	
 Typ dílu kanálového vedení - všeobecně	Všeobecné atributy typu dílu kanálového vedení.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“).
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Tvar	Tvar průřezu. Tento tvar je pravidelný po celé délce dílu. U nepravidelných tvarů je místo něj nutné použít přechodovou armaturu.
 Pracovní tlak	Klasifikace tlaku definovaná příslušným úřadem (např. SMACNA atd.).
 Rozsah tlaku	Přípustný maximální a minimální pracovní tlak (vztažený na okolní tlak).
 Rozsah teplot	Přípustná maximální a minimální teplota.
 Podélný spoj	Typ spoje použitého v podélné ose dílu kanálového vedení.
 Jmenovitý průměr nebo šířka	Jmenovitý průměr nebo šířka dílu kanálového vedení.
 Jmenovitá výška	Jmenovitá výška dílu kanálového vedení.
 Výztuž	Typ výztuže (je-li použita) použité pro díl kanálového vedení.
 Rozestup výztuže	Rozestup mezi výztužnými prvky.
	
 Historie provozu tlumiče kanálového vedení	Všeobecné atributy historie provozu tlumiče kanálového vedení.
 Průtoková rychlost vzduchu	Objemová průtoková rychlost vzduchu.
 Křivka poklesu tlaku vzduchu	Pokles tlaku vzduchu jako funkce průtokové rychlosti vzduchu.
	
 Typ tlumiče kanálového vedení - všeobecně	"Všeobecné atributy typu tlumiče kanálového vedení.
Atributy ZtrátyVložením a RegenerovanýZvuk vymazány v IFC2x2 Pset Addendum: Místo něj použijte IfcSoundProperties."
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Hydraulický průměr	Hydraulický průměr.
 Délka	Konečná délka tlumiče.
 Hmotnost	Hmotnost tlumiče.
 Rozsah průtokové rychlosti vzduchu	Možný rozsah průtoku vzduchu, který lze dodat.
 Rozsah pracovních tlaků	Přípustný minimální a maximální pracovní tlak (vztažený na okolní tlak).
 Rozsah teplot	Přípustná minimální a maximální teplota.
 Má vnější izolaci	TRUE pokud má tlumič vnější izolaci. FALSE pokud nemá.
	
 Elektrické zařízení - všeobecně	Soubor vlastností běžně používaných u typů elektrických zařízení.
 Jmenovitý proud	Proud, pro který je zařízení navrženo.
 Jmenovité napětí	Napětí, pro které je zařízení navrženo.
 Jmenovitý rozsah kmitočtů	Horní a dolní mezní hodnoty kmitočtu, pro který je certifikován provoz zařízení.
 Účiník	Poměr mezi jmenovitým elektrickým výkonem a součinem jmenovitého proudu a jmenovitého napětí
 Funkce vodiče	Funkce síťového vodiče, ke kterému má být zařízení připojeno, kde L1, L2 a L3 představují fázová vedení označená podle normy IEC 60446 (fázová vedení se někdy označují barevně [červené, modré, žluté] nebo číslem [1, 2, 3] atd.). Ochranné uzemnění je také někdy známo jako CPC neboli společný ochranný vodič. U elektrického zařízení může být použit celý soubor funkcí síťového vodiče.
 Počet pólů	Počet živých vodičů určených pro dané zařízení.
 Má ochranné uzemnění	Udává, zda má elektrické zařízení ochranné zemní spojení (=TRUE) nebo ne (= FALSE).
 Kód_IP	Klasifikace IEC 60529 (1989) krytí poskytovaného skříňkami (kód krytí IP).
 Třída izolace podle normy	Třída izolace podle normy poskytuje základní informace o ochraně proti úrazu elektrickým proudem. Stanoví úrovně izolace potřebné ze stavebního hlediska (povrchová vzdálenost a izolační vzdálenost) a z elektrotechnického hlediska (vyhovění testům dielektrické pevnosti). Základní izolace se považuje za zkratovanou za podmínek jednoduché poruchy. Skutečně požadované hodnoty závisí na pracovním napětí, kterému je izolace vystavena, a na dalších faktorech. Také udává, zda má elektrické zařízení ochranné zemní spojení.
	
 Historie provozu elektrického přístroje	Zachycuje informace v reálném čase o elektrických přístrojích, např. o využití energie.  HISTORIE: Přidáno do IFC4.
